Gene	Group	Source
YDR417C	RP	Gasch_2017
YDR454C	RP	Gasch_2017
YEL026W	RP	Gasch_2017
YER025W	RP	Gasch_2017
YGL102C	RP	Gasch_2017
YHR128W	RP	Gasch_2017
YJL138C	RP	Gasch_2017
YKL056C	RP	Gasch_2017
YKL081W	RP	Gasch_2017
YKR059W	RP	Gasch_2017
YLL044W	RP	Gasch_2017
YLR062C	RP	Gasch_2017
YLR339C	RP	Gasch_2017
YML022W	RP	Gasch_2017
YMR116C	RP	Gasch_2017
YMR146C	RP	Gasch_2017
YNL119W	RP	Gasch_2017
YNL209W	RP	Gasch_2017
YPL142C	RP	Gasch_2017
YPR044C	RP	Gasch_2017
YBL027W	RP	Gasch_2017
YBL072C	RP	Gasch_2017
YBL087C	RP	Gasch_2017
YBL092W	RP	Gasch_2017
YBR031W	RP	Gasch_2017
YBR048W	RP	Gasch_2017
YBR084C-A	RP	Gasch_2017
YBR181C	RP	Gasch_2017
YBR189W	RP	Gasch_2017
YBR191W	RP	Gasch_2017
YCR031C	RP	Gasch_2017
YDL061C	RP	Gasch_2017
YDL075W	RP	Gasch_2017
YDL081C	RP	Gasch_2017
YDL082W	RP	Gasch_2017
YDL083C	RP	Gasch_2017
YDL136W	RP	Gasch_2017
YDL191W	RP	Gasch_2017
YDR012W	RP	Gasch_2017
YDR025W	RP	Gasch_2017
YDR064W	RP	Gasch_2017
YDR382W	RP	Gasch_2017
YDR418W	RP	Gasch_2017
YDR447C	RP	Gasch_2017
YDR450W	RP	Gasch_2017
YDR471W	RP	Gasch_2017
YDR500C	RP	Gasch_2017
YEL054C	RP	Gasch_2017
YER056C-A	RP	Gasch_2017
YER074W	RP	Gasch_2017
YER102W	RP	Gasch_2017
YER117W	RP	Gasch_2017
YER131W	RP	Gasch_2017
YFR031C-A	RP	Gasch_2017
YGL030W	RP	Gasch_2017
YGL031C	RP	Gasch_2017
YGL076C	RP	Gasch_2017
YGL103W	RP	Gasch_2017
YGL123W	RP	Gasch_2017
YGL135W	RP	Gasch_2017
YGL147C	RP	Gasch_2017
YGL189C	RP	Gasch_2017
YGR027C	RP	Gasch_2017
YGR034W	RP	Gasch_2017
YGR085C	RP	Gasch_2017
YGR118W	RP	Gasch_2017
YGR148C	RP	Gasch_2017
YGR214W	RP	Gasch_2017
YHL001W	RP	Gasch_2017
YHL033C	RP	Gasch_2017
YHR010W	RP	Gasch_2017
YHR021C	RP	Gasch_2017
YHR141C	RP	Gasch_2017
YHR203C	RP	Gasch_2017
YIL018W	RP	Gasch_2017
YIL052C	RP	Gasch_2017
YIL133C	RP	Gasch_2017
YIL148W	RP	Gasch_2017
YJL136C	RP	Gasch_2017
YJL177W	RP	Gasch_2017
YJL189W	RP	Gasch_2017
YJL190C	RP	Gasch_2017
YJL191W	RP	Gasch_2017
YJR094W-A	RP	Gasch_2017
YJR123W	RP	Gasch_2017
YJR145C	RP	Gasch_2017
YKL006W	RP	Gasch_2017
YKL156W	RP	Gasch_2017
YKL180W	RP	Gasch_2017
YKR057W	RP	Gasch_2017
YKR094C	RP	Gasch_2017
YLL045C	RP	Gasch_2017
YLR009W	RP	Gasch_2017
YLR029C	RP	Gasch_2017
YLR048W	RP	Gasch_2017
YLR061W	RP	Gasch_2017
YLR075W	RP	Gasch_2017
YLR167W	RP	Gasch_2017
YLR185W	RP	Gasch_2017
YLR264W	RP	Gasch_2017
YLR325C	RP	Gasch_2017
YLR333C	RP	Gasch_2017
YLR340W	RP	Gasch_2017
YLR344W	RP	Gasch_2017
YLR367W	RP	Gasch_2017
YLR388W	RP	Gasch_2017
YLR441C	RP	Gasch_2017
YLR448W	RP	Gasch_2017
YML024W	RP	Gasch_2017
YML026C	RP	Gasch_2017
YML063W	RP	Gasch_2017
YML073C	RP	Gasch_2017
YMR121C	RP	Gasch_2017
YMR142C	RP	Gasch_2017
YMR143W	RP	Gasch_2017
YMR194W	RP	Gasch_2017
YMR230W	RP	Gasch_2017
YMR242C	RP	Gasch_2017
YNL002C	RP	Gasch_2017
YNL067W	RP	Gasch_2017
YNL069C	RP	Gasch_2017
YNL096C	RP	Gasch_2017
YNL162W	RP	Gasch_2017
YNL178W	RP	Gasch_2017
YNL301C	RP	Gasch_2017
YNL302C	RP	Gasch_2017
YOL039W	RP	Gasch_2017
YOL040C	RP	Gasch_2017
YOL120C	RP	Gasch_2017
YOL121C	RP	Gasch_2017
YOL127W	RP	Gasch_2017
YOR063W	RP	Gasch_2017
YOR096W	RP	Gasch_2017
YOR167C	RP	Gasch_2017
YOR182C	RP	Gasch_2017
YOR234C	RP	Gasch_2017
YOR293W	RP	Gasch_2017
YOR312C	RP	Gasch_2017
YOR369C	RP	Gasch_2017
YPL079W	RP	Gasch_2017
YPL081W	RP	Gasch_2017
YPL090C	RP	Gasch_2017
YPL143W	RP	Gasch_2017
YPL198W	RP	Gasch_2017
YPL220W	RP	Gasch_2017
YPR043W	RP	Gasch_2017
YPR102C	RP	Gasch_2017
YPR132W	RP	Gasch_2017
YDL130W	RP	Gasch_2017
YDL133C-A	RP	Gasch_2017
YDL184C	RP	Gasch_2017
YFL034C-A	RP	Gasch_2017
YFR032C-A	RP	Gasch_2017
YHL015W	RP	Gasch_2017
YIL069C	RP	Gasch_2017
YLR287C-A	RP	Gasch_2017
YLR406C	RP	Gasch_2017
YPL131W	RP	Gasch_2017
YPL249C-A	RP	Gasch_2017
YAL061W	iESR	Gasch_2017
YBL049W	iESR	Gasch_2017
YBL064C	iESR	Gasch_2017
YBL075C	iESR	Gasch_2017
YBL078C	iESR	Gasch_2017
YBR006W	iESR	Gasch_2017
YBR026C	iESR	Gasch_2017
YBR052C	iESR	Gasch_2017
YBR053C	iESR	Gasch_2017
YBR056W	iESR	Gasch_2017
YBR072W	iESR	Gasch_2017
YBR126C	iESR	Gasch_2017
YBR139W	iESR	Gasch_2017
YBR149W	iESR	Gasch_2017
YBR169C	iESR	Gasch_2017
YBR183W	iESR	Gasch_2017
YBR204C	iESR	Gasch_2017
YBR230C	iESR	Gasch_2017
YBR269C	iESR	Gasch_2017
YBR285W	iESR	Gasch_2017
YBR287W	iESR	Gasch_2017
YCL035C	iESR	Gasch_2017
YCL040W	iESR	Gasch_2017
YCL042W	iESR	Gasch_2017
YCR004C	iESR	Gasch_2017
YCR061W	iESR	Gasch_2017
YCR091W	iESR	Gasch_2017
YDL021W	iESR	Gasch_2017
YDL022W	iESR	Gasch_2017
YDL023C	iESR	Gasch_2017
YDL027C	iESR	Gasch_2017
YDL110C	iESR	Gasch_2017
YDL124W	iESR	Gasch_2017
YDL199C	iESR	Gasch_2017
YDL204W	iESR	Gasch_2017
YDL222C	iESR	Gasch_2017
YDR001C	iESR	Gasch_2017
YDR003W	iESR	Gasch_2017
YDR032C	iESR	Gasch_2017
YDR059C	iESR	Gasch_2017
YDR070C	iESR	Gasch_2017
YDR074W	iESR	Gasch_2017
YDR085C	iESR	Gasch_2017
YDR096W	iESR	Gasch_2017
YDR169C	iESR	Gasch_2017
YDR171W	iESR	Gasch_2017
YDR204W	iESR	Gasch_2017
YDR254W	iESR	Gasch_2017
